SMILES,Valid,HBD,HBA,ConjSystems,AroSystems,ChargedAtoms,TotalFormalCharge,Halogens,RotBonds,RingCount,AroRingCount,HeteroAtoms,HeavyAtoms,FracCsp3,TPSA,cLogP,MolWt,ExactMass,ChiralCenters
O=C(O)C=1C=CC(=O)N(N1)C2=CC=CC=C2F,True,1,4,1,2,0,0,1,2,2,2,6,17,0.0,72.19,1.0697999999999999,234.18599999999998,234.044070304,0
CC1=NC=2C=CC=CC2C(=O)N1C(C)C(=O)O,True,1,4,2,1,0,0,0,2,2,2,5,17,0.25,72.19,1.35052,232.23899999999995,232.084792244,1
O=C(O)C1=NN(C=C1O)C=2C=CC(F)=CC2F,True,2,4,1,2,0,0,2,2,2,2,7,17,0.0,75.35,1.5542999999999998,240.165,240.034648492,0
O=C(O)C1COC=2C=CC=3C=CC=CC3C2C1,True,1,2,2,1,0,0,0,1,3,2,3,17,0.21428571428571427,46.53,2.4755000000000003,228.24699999999999,228.078644244,1
COC=1C=CC=CC1C2=NN(C)C=C2C(=O)O,True,1,4,1,2,0,0,0,3,2,2,5,17,0.16666666666666666,64.35000000000001,1.7938999999999998,232.23899999999998,232.084792244,0
CC=1OC=CC1C(=O)NC2(CCCC2)C(=O)O,True,2,3,2,1,0,0,0,3,2,1,5,17,0.5,79.54,1.71522,237.25499999999994,237.10010796,0
Cl.Cl.CC=1C=CC=C(C1)C(C(=O)O)N2CCNCC2,True,2,3,2,1,0,0,2,3,2,1,6,19,0.46153846153846156,52.57,1.86952,307.2210000000001,306.09018324,1
CC1=C(N=NN1CC=2C=CC(F)=CC2)C(=O)O,True,1,4,2,2,0,0,1,3,2,2,6,17,0.18181818181818182,68.01,1.47212,235.218,235.07570478,0
CC=1C=CC(=CC1)CN2C(=O)CCC2C(=O)O,True,1,2,3,1,0,0,0,3,2,1,4,17,0.38461538461538464,57.61,1.5706200000000001,233.26699999999997,233.10519334,1
O=C(O)C=1C=NN(C1C(F)F)C=2C=CN=CC2,True,1,4,1,2,0,0,2,3,2,2,7,17,0.1,68.00999999999999,1.9031,239.181,239.050632904,0
CC=1C=C(N2N=CC(C(=O)O)=C2N1)C(F)(F)F,True,1,4,1,1,0,0,3,1,2,2,8,17,0.2222222222222222,67.49000000000001,1.75472,245.15999999999997,245.041211092,0
CC(C)(C)CNC(=O)C1=CC=C(N=C1)C(=O)O,True,2,3,1,1,0,0,0,3,1,1,5,17,0.4166666666666667,79.29,1.5557,236.27100000000002,236.116092372,0
CC1=C(C=NN1C)C2C(CC(=O)N2C)C(=O)O,True,1,4,3,1,0,0,0,2,2,1,6,17,0.5454545454545454,75.43,0.3325200000000001,237.25899999999996,237.11134134,2
