SMILES,Valid,HBD,HBA,ConjSystems,AroSystems,ChargedAtoms,TotalFormalCharge,Halogens,RotBonds,RingCount,AroRingCount,HeteroAtoms,HeavyAtoms,FracCsp3,TPSA,cLogP,MolWt,ExactMass,ChiralCenters
O[C@H]([9*])C,TRUE,1,1,0,0,0,0,0,0,0,0,2,3,1,20.23,-0.126,45.061,45.03403978,1
O=c1nc(N)ccn1C[10*],TRUE,1,4,1,1,0,0,0,1,1,1,5,9,0.2,60.91,-0.6677,124.123,124.0510868,0
[18*]Oc1nsnc1N2CCOCC2,TRUE,0,6,1,1,0,0,0,2,2,1,7,12,0.666666667,47.48,0.2178,186.216,186.0337225,0
[10*]N1CCCCC1,TRUE,0,1,0,0,0,0,0,0,1,0,2,6,1,3.24,0.9366,84.142,84.08132432,0
C1N([4*])C(=O)c(c2[C@@H]13)cccc2CCC3,TRUE,0,1,1,1,0,0,0,0,3,1,3,14,0.416666667,20.31,2.0266,186.234,186.091889,1
N12C[C@@H]([2*])C(CC1)CC2,TRUE,0,1,0,0,0,0,0,0,3,0,2,8,1,3.24,1.0498,110.18,110.0969744,1
C1CC(=O)C=C(C=C2)[C@]1(C)[C@H](CC3)[C@@H]2[C@@H]([C@]34C)CC[C@@H]4[16*],TRUE,0,1,1,0,0,0,0,0,4,0,2,20,0.736842105,17.07,4.6321,269.408,269.1905404,6
[3*]Oc1c(C)cccc1C,TRUE,0,1,1,1,0,0,0,1,1,1,2,9,0.25,9.23,2.14654,121.159,121.0653399,0
N[C@@H]([3*])C,TRUE,1,1,0,0,0,0,0,0,0,0,2,3,1,26.02,-0.1596,44.077,44.05002419,1
[8*]N1CC(=O)NC(=O)C1,TRUE,1,3,1,0,0,0,0,0,1,0,5,8,0.5,49.41,-1.5909,113.096,113.0351024,0
CN1C([16*])=NCCC1,TRUE,0,2,1,0,0,0,0,0,1,0,3,7,0.8,15.6,0.2272,97.141,97.07657329,0
[10*]N1CCCC1,TRUE,0,1,0,0,0,0,0,0,1,0,2,5,1,3.24,0.5465,70.115,70.06567426,0
[3*]c1cc(O)ccc1,TRUE,1,1,1,1,0,0,0,0,1,1,2,7,0,20.23,0.5668,93.105,93.03403978,0
Cn1c(=S)n(cc1)C(=O)O[10*],TRUE,0,5,1,1,0,0,0,0,1,1,6,10,0.2,36.16,1.00509,157.174,157.0071734,0
c1cccc(c12)Sc3c(N2[4*])cccc3,TRUE,0,2,1,2,0,0,0,0,3,2,3,14,0,3.24,3.7536,198.27,198.0377453,0
[9*]c1cc([N+]([O-])=O)ccc1,TRUE,0,2,1,1,2,0,0,1,1,1,4,9,0,43.14,0.7694,122.103,122.0242034,0
C1CC(=O)C=C(CC2)[C@@]1(C)[C@@H](CC3)[C@@H]2[C@@H]([C@]34C)CC[C@@H]4[18*],TRUE,0,1,1,0,0,0,0,0,4,0,2,20,0.842105263,17.07,4.8561,271.424,271.2061905,6
